PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1402000018,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,330300,330300,330300
1402000019,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,615400,615400,615400
1402000020,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,78700,78700,78700
1402000021,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,140500,140500,313500
1402000022,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,78300,78300,78300
1402000023,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,27900,27900,27900
1402000024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,422500,422500,422500
1402000025,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,170000,170000,170000
1402000026,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,275000,275000,275000
1402000027,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,238400,238400,238400
1402000028,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,252000,252000,252000
1402000029,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,232900,232900,403400
1402000030,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,471700,471700,471700
1402000031,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,406200,406200,406200
1402000032,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,438700,438700,438700
1402000032M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402000033,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,291600,291600,291600
1402000034,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,85100,85100,85100
1402000035,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,430900,430900,430900
1402000036,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,450700,450700,450700
1402000037,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,235900,235900,235900
1402000038,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,344800,344800,344800
1402000039,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,341700,341700,341700
1402000040,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,294000,294000,294000
1402000041,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,200900,200900,1067700
1402000042,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,473600,473600,473600
1402000043,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,123200,123200,296200
1402000044,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,392500,392500,392500
1402000045,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,281000,281000,281000
1402000046,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,13180700
1402000047,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,350700,350700,350700
1402000047M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402000048,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,25200,25200,25200
1402000048M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402000049,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,99400,99400,99400
1402000050,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,312400,312400,312400
1402000051,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,684900,684900,684900
1402000052,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,31300,31300,31300
1402000053,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,166900,166900,339900
1402000054,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,456600,456600,456600
1402000054M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402000055,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,276700,276700,276700
1402000056,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,229900,229900,229900
1402000057,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,499400,499400,499400
1402000058,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,604700,604700,604700
1402000059,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,809000,809000,809000
1402000060,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,82200,82200,82200
1402000061,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,566200,566200,566200
1402000062,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,128900,128900,128900
1402000063,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,629600,629600,629600
1402000064,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,C,507500,507500,507500
1402000065,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,223600,223600,223600
1402000066,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,26800
1402000067,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,268700,268700,268700
1402000067M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,58500,58500,58500
1402000068,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,43800,43800,43800
1402000069,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,483100,483100,483100
1402000071,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,502400
1402000072,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,50000,50000,50000
1402000073,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,370900,370900,370900
1402000074,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,425600,425600,425600
1402000075,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,254100,254100,254100
1402000076,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,14560000
1402000078,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,603400,603400,603400
1402000079,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,418700,218700,788900
1402000079M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,176400,176400,176400
1402000080,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,727100,727100,727100
1402000081,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,568200,568200,568200
1402000082,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,403300,403300,403300
1402000083,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,815400,815400,815400
1402000084,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,570700,570700,770800
1402000085,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,13484900
1402000086,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,2529100,2529100,3815100
1402000086M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,138500,138500,138500
1402000087,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,620000,620000,958300
1402000088,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,937200,937200,937200
1402000089,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,984200,984200,984200
1402000091,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,30000,30000,30000
1402000092,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,242200,242200,242200
1402000093,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,660800,660800,660800
1402000094,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,444800,444800,444800
1402000095,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,1816100
1402000096,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,457300,457300,457300
1402000097,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,731300,731300,731300
1402000098,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,323600,323600,323600
1402000099,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,772500,772500,772500
1402000100,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,352300
1402000101,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,196500,196500,196500
1402000102,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,537200,537200,537200
1402000103,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,100
1402000104,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,464000,464000,464000
1402000105,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,493200,493200,493200
1402000106,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,568700,568700,568700
1402000107,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,100
1402000108,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,634500,634500,634500
1402000109,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,624700,624700,624700
1402000110,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,390400,390400,390400
1402000111,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,100
1402000112,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,157700
1402000113,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,912800,912800,912800
1402000114,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,193000
1402000115,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,166000
1402000116,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,215800,215800,506800
1402000117,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,345700,345700,345700
1402100001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,251600
1402100002,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,467900,467900,2469200
1402100003,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,296500,296500,296500
1402100024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,669400,669400,669400
1402100028,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,599500,599500,599500
1402100029,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,500400,327400,500400
1402100034,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,358200,358200,358200
1402100035,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,204400
1402100035M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,64400,64400,64400
1402100041,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,41000,41000,41000
1402100042,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,41000,41000,41000
1402200014,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,538600,538600,1195600
1402200014R,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402200015,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,609100,609100,858100
1402200017,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,346500,173500,346500
1402200018,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,116500,116500,116500
1402200019,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,910000
1402200019M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402200020,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,812500,639500,2163300
1402200021,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,435100,435100,435100
1402200022,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,22881300
1402200023,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,100100,100100,3089400
1402200024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,110400,110400,110400
1402200025,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,387600,387600,841800
1402200026,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,541400,541400,541400
1402200027,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,368500,368500,368500
1402200028,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,711300,711300,711300
1402200029,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,42846000
1402200030,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,439000,439000,781200
1402200064,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,430800,430800,430800
1402200065,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,803300,803300,803300
1402200066,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,341800,341800,341800
1402200067,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,504000,504000,504000
1402200069,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,342800,342800,342800
1402200070,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,642000,642000,642000
1402200072,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,355100,182100,355100
1402200073,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,262100,262100,611900
1402200075,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,80500,80500,80500
1402200077,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,30900,30900,30900
1402200078,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,368300,368300,368300
1402200079,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,309400,309400,309400
1402200080,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,932700,932700,932700
1402200080M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402200086,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,481500,481500,481500
1402200087,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,412000,412000,412000
1402200088,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,416500,416500,416500
1402200089,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,104200,104200,549800
1402200090,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,805700,805700,1232300
1402200091,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,489600,489600,540500
1402200092,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,361200,188200,732500
1402200093,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,24900
1402200094,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,576900,403900,576900
1402200095,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,28200
1402200096,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,91000,91000,1926800
1402200097,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,543500,543500,871500
1402200098,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,ER,0,0,464400
1402200099,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,572100,572100,572100
1402200103,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,88600,88600,88600
1402300001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,305800,305800,625400
1402300002,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,435400,262400,1755800
1402300003,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,604800,604800,604800
1402300004,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,489200,489200,489200
1402300005,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,772400,772400,772400
1402300006,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,682000,682000,873000
1402300007,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,668900,668900,668900
1402300008,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,443000,443000,443000
1402300009,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,461000,461000,739200
1402300009M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1402300010,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,394500,394500,572000
1402300049,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,0,0,182200
1402500014,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,F,577300,404300,1268300
1402500014M0002,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,R,0,0,0
1499999002,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,U,4306200,4306200,4306200
1499999003,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,U,8857300,8857300,8857300
1499999004,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,U,4926500,4926500,4926500
1499999005,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,U,142000,142000,142000
1499999006,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,14,U,50320900,50320900,50320900
1500700003,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,725600,725600,4345800
1500700004,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,305400,132400,305400
1500700006,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,376900,376900,376900
1500700007,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,373000,373000,373000
1500700008,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,0,0,927900
1500700009,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,586800,586800,1535800
1500700010,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,39900,39900,39900
1500700011,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,69000,69000,69000
1500700012,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,499500,499500,2178900
1500700014,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,390000,390000,390000
1500700015,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,395000,395000,569100
1500700016,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,573800,573800,573800
1500700017,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,462900,462900,462900
1500700018,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,375100,375100,375100
1500700020,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,161800,161800,334800
1500700021,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,38900,38900,38900
1500700022,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,409200,409200,409200
1500700023,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,966900,966900,966900
1500700024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,319100,319100,492100
1500700025,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,531400,531400,531400
1500700026,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,810400,810400,810400
1500700027,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,446200,273200,446200
1500700028,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,467800,467800,467800
1500700029,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,413300,413300,413300
1500700030,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,375000,375000,375000
1500700031,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,507900,507900,507900
1500700032,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,41800,41800,41800
1500700033,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,381100,381100,381100
1500700034,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,431500,431500,431500
1500700035,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,585000,585000,585000
1500700036,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,455600,455600,455600
1500700037,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,0,0,187800
1500700056,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,464600,464600,1562200
1500700056M0001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,0,0,0
1500700057,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,0,0,780700
1500700058,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,0,0,855900
1500700059,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,F,1494100,1494100,4512400
1500700060,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,416700,416700,589700
1500700061,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,647600,647600,647600
1500700062,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,15,R,466300,293300,466300
