PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0600400004C0172,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,511000,511000,511000
0600400004C0174,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,625400,625400,625400
0600400004C0176,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,522900,522900,522900
0600400004C0177,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,525700,525700,525700
0600400004C0178,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,577500,577500,577500
0600400004C0179,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,523000,523000,523000
0600400004C0180,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,643600,643600,643600
0600400004C0181,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,525900,525900,525900
0600400004C0182,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,531600,531600,531600
0600400004C0183,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,584400,584400,584400
0600400004C0184,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,548500,548500,548500
0600400004C0185,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,568800,568800,568800
0600400004C0186,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,540500,540500,540500
0600400004C0187,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,563100,563100,563100
0600400004C0188,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,496500,496500,496500
0600400004C0189,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,565600,565600,565600
0600400004C0190,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,521900,521900,521900
0600400004C0191,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,515700,515700,515700
0600400004C0192,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,547300,547300,547300
0600400004C0194,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,522500,522500,522500
0600400004C0196,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,582500,582500,582500
0600400004C0200,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,501600,501600,501600
0600400004C0202,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,496300,496300,496300
0600400004C0204,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,527200,527200,527200
0600400004C0206,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,612600,612600,612600
0600400004C0208,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,529100,529100,529100
0600400004C0210,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,520100,520100,520100
0600400004C0212,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,504000,504000,504000
0600400004C0214,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,520600,520600,520600
0600400004C0216,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,497300,497300,497300
0600400004C0218,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,496300,496300,496300
