PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1002520291,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,332500,332500,332500
1002520292,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,309500,309500,309500
1002520293,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,302200,302200,302200
1002520294,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,302800,302800,302800
1002520295,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,303300,303300,303300
1002520296,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,342000,342000,342000
1002520297,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,281400,281400,281400
1002520298,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,301800,0,301800
1002520299,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,282200,282200,282200
1002520300,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,119600,119600,292600
1002520301,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,340100,340100,340100
1002520302,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,281400,281400,281400
1002520303,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,309000,309000,309000
1002520304,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,288600,288600,288600
1002520305,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,290800,290800,290800
1002530001,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,309100,309100,309100
1002530002,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,332300,332300,332300
1002530003,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,359300,359300,359300
1002530004,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,310900,310900,310900
1002530005,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,292900,292900,292900
1002530006,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,318000,318000,318000
1002530007,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,328900,328900,328900
1002530008,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,315500,315500,315500
1002530009,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,429900,429900,429900
1002530010,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,408100,408100,408100
1002530011,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,362400,362400,362400
1002530012,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,421400,421400,421400
1002530013,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,364600,364600,364600
1002530014,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,411500,411500,411500
1002530015,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,412000,412000,412000
1002530016,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,319900,319900,319900
1002530017,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,346800,346800,346800
1002530018,TRS4,COLONIAL SCHOOL DIST-TRES,10,R,343700,343700,343700
