PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0700200033,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,1536100
0700200034,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1039700,1039700,1044700
0700200035,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1810600,1810600,1810600
0700200036,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1727300,1727300,1727300
0700200037,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,990800,990800,990800
0700200038,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,694300,694300,694300
0700200039,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,1301300
0700200040,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1174200,1174200,1174200
0700200041,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,767800,767800,767800
0700200042,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1132600,1132600,1132600
0700200044,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,844300,844300,844300
0700200045,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,291200,291200,291200
0700200046,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,842900,842900,842900
0700200047,TRS2,RED CLAY SCHOOL DIST-TRES,7,F,951300,951300,3129400
0700200048,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,788300,788300,788300
0700200049,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,220600,220600,220600
0700200051,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,190600,190600,190600
0700200052,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,771100,771100,771100
0700200053,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,99900,99900,99900
0700200054,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1243300,1243300,1243300
0700200055,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1562700,1562700,1562700
0700200058,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1446000,1446000,1446000
0700200059,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1263200,1263200,1263200
0700200060,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1710200,1710200,1710200
0700200061,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,121400,121400,121400
0700200062,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,988600,988600,988600
0700200063,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,79800,79800,79800
