PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1502000015,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,121400,121400,121400
1502000016,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,648700,648700,877200
1502000017,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,24000,24000,24000
1502000018,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,538400,538400,2158700
1502000018M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,49400,49400,49400
1502000019,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,42900,42900,227100
1502000020,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,487200,487200,487200
1502000021,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,0,0,902900
1502000022,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,541000,541000,541000
1502000023,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,656400,656400,656400
1502000024,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,484000,484000,666400
1502000025,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,152400,101600,203200
1502000025M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,62000,62000,62000
1502000026,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,658700,658700,658700
1502000027,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,734100,734100,734100
1502000028,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,686500,686500,1318300
1502000029,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,654800,654800,654800
1502000030,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,442200,442200,595100
1502000031,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,762000,762000,1132900
1502000032,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,487400,487400,487400
1502000033,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,364000,364000,364000
1502000034,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,450400,277400,1291400
1502000034M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,32300,32300,32300
1502000035,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,1029700,1029700,1029700
1502000036,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,403900,403900,2204700
1502000036M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,131700,131700,131700
1502000037,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,88000,88000,88000
1502000038,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,457900,457900,457900
1502000039,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,344600,344600,344600
1502000040,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,442300,442300,442300
1502000041,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,533200,533200,533200
1502000041M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502000042,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,566600,566600,566600
1502000043,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,745400,745400,745400
1502000044,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,459500,459500,459500
1502000045,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,413100,413100,413100
1502000045M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502000046,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,404100,404100,404100
1502000047,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,505800,505800,505800
1502000048,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,117000,117000,117000
1502000048M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,0,0,0
1502000049,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,461200,288200,461200
1502000050,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,688300,688300,688300
1502000051,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,427600,427600,613000
1502000051MA001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,79600,79600,79600
1502000052,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,107200,107200,107200
1502000054,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,184200,184200,357200
1502000055,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,263700,263700,263700
1502000056,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,338400,338400,338400
1502000056M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,156700,156700,156700
1502000057,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,329800,156800,329800
1502000058,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,538500,538500,538500
1502000059,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,366800,193800,366800
1502000060,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,282600,282600,282600
1502000060M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,61300,61300,61300
1502000061,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,943700,943700,943700
1502000062,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,685100,0,878700
1502000063,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,578800,578800,767600
1502000064,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,439100,439100,591600
1502000065,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,519300,519300,519300
1502000066,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,440900,440900,440900
1502000067,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,651300,651300,911600
1502000068,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,505700,505700,505700
1502000069,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,384300,384300,384300
1502000070,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,590900,590900,590900
1502000071,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,608000,608000,608000
1502000072,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,450200,450200,450200
1502000072M0001,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,44900,44900,44900
1502000073,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,399500,399500,723800
1502000074,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,483400,483400,483400
1502000075,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,559900,559900,559900
1502000076,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,365300,165300,365300
1502000077,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,566600,566600,566600
1502000078,TRS6,SMYRNA SCHOOL DIST-TRES,15,F,703900,703900,898600
1502000079,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,172400,172400,345400
1502000080,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,196900,196900,369900
1502000081,TRS6,SMYRNA SCHOOL DIST-TRES,15,R,598100,598100,598100
